domainId	domainCentre	domainColour	abbv	oboId	VFBid	name
1	184.85,284.092,46.1711		AME	FBbt_00045003	VFB_00030787	accessory medulla
2	190.372,294.943,79.0382		LO	FBbt_00003852	VFB_00030788	lobula
3	450.263,212.817,60.6433		NO	FBbt_00003680	VFB_00030789	nodulus
4	366.67,145.819,54.723		BU	FBbt_00003682	VFB_00030790	bulb
5	420.529,153.152,102.884		PB	FBbt_00003668	VFB_00030791	protocerebral bridge
6	223.779,126.652,80.5163		LH	FBbt_00007053	VFB_00030792	lateral horn
7	388.469,205.731,43.8005		LAL	FBbt_00003681	VFB_00030793	lateral accessory lobe
8	406.405,345.947,52.2054		SAD	FBbt_00045048	VFB_00030794	saddle
9	444.987,311.928,69.2182		CAN	FBbt_00045051	VFB_00030795	cantle
10	361.701,314.027,39.9043		AMMC_AN	FBbt_00003982	VFB_00030796	antennal mechanosensory and motor center
11	347.88,171.705,77.7845		ICL	FBbt_00040049	VFB_00030797	inferior clamp
12	443.385,273.023,56.1706		VES	FBbt_00040041	VFB_00030798	vest
13	442.024,202.791,92.218		IB	FBbt_00040050	VFB_00030799	inferior bridge
14	433.569,136.392,93.6217		ATL	FBbt_00045039	VFB_00030800	antler
15	418.181,130.054,36.6796		CRE	FBbt_00045037	VFB_00030801	crepine
16	318.493,149.782,64.1247		MB_PED	FBbt_00007453	VFB_00030802	pedunculus of adult mushroom body
17	346.111,71.338,50.1206		MB_V_lobes	FBbt_00015407	VFB_00030803	vertical lobe of adult mushroom body
18	431.51,127.656,36.9095		MB_M_lobes	FBbt_00007677	VFB_00030804	medial lobe of adult mushroom body
19	450.134,314.737,43.5371		FLA	FBbt_00045050	VFB_00030805	flange
20	305.177,95.9576,96.5922		MB_ACA	FBbt_00045007	VFB_00030806	mushroom body accessory calyx
21	146.017,333.548,92.2636		LOP	FBbt_00003885	VFB_00030807	lobula plate
22	450.731,155.093,54.2191		EB	FBbt_00003678	VFB_00030808	ellipsoid body
23	430.088,220.338,22.1163		AL	FBbt_00007401	VFB_00030809	adult antennal lobe
24	88.8417,315.321,65.0381		ME	FBbt_00003748	VFB_00030810	medulla
25	444.393,153.23,71.5638		FB	FBbt_00003679	VFB_00030811	fan-shaped body
26	282.261,74.0494,74.0789		SLP	FBbt_00007054	VFB_00030812	superior lateral protocerebrum
27	339.275,78.5317,58.7331		SIP	FBbt_00045032	VFB_00030813	superior intermediate protocerebrum
28	433.288,76.8524,65.6932		SMP	FBbt_00007055	VFB_00030814	superior medial protocerebrum
29	276.19,222.943,40.3819		AVLP	FBbt_00040043	VFB_00030815	anterior ventrolateral protocerebrum
30	266.753,217.957,62.6127		PVLP	FBbt_00040042	VFB_00030816	posterior ventrolateral protocerebrum
31	325.226,303.644,62.3676		IVLP	FBbt_00045027	VFB_00030817	wedge
32	281.379,208.112,85.5676		PLP	FBbt_00040044	VFB_00030818	posterior lateral protocerebrum
33	286.999,107.381,41.6159		AOTU	FBbt_00007059	VFB_00030819	anterior optic tubercle
34	386.176,209.564,70.2635		GOR	FBbt_00040039	VFB_00030820	gorget
35	315.471,128.974,107.743		MB_CA	FBbt_00007385	VFB_00030821	calyx of adult mushroom body
36	407.149,254.582,87.0251		SPS	FBbt_00045040	VFB_00030822	superior posterior slope
37	406.488,316.676,88.6236		IPS	FBbt_00045046	VFB_00030823	inferior posterior slope
38	317.965,124.805,74.9608		SCL	FBbt_00040048	VFB_00030824	superior clamp
39	357.957,224.399,60.0999		EPA	FBbt_00040040	VFB_00030825	epaulette
40	440.169,180.541,72.6541		mALT	FBbt_00003985	VFB_00030826	medial antennal lobe tract
41	226.17,175.082,62.8267		AOT	FBbt_00100337	VFB_00030827	optic anterior tract
42	312.778,283.092,84.0615		POC	FBbt_00007427	VFB_00030828	posterior optic commissure
43	403.787,233.636,72.8754		GC	FBbt_00007080	VFB_00030829	great commissure
44	423.362,475.029,107.587		labro_frontal_nerve	FBbt_00110653	VFB_00030830	labro frontal nerve
46	371.999,362.557,6.58298		max_lab_nerve	FBbt_00004043	VFB_00030831	adult maxillary nerve
47	398.168,464.405,34.2172		GF	FBbt_00004020	VFB_00030832	giant fiber neuron
48	427.228,389.455,57.3077		SEG	FBbt_00014013	VFB_00030833	adult gnathal ganglion
49	454.792,323.348,23.4184		PRW	FBbt_00040051	VFB_00030834	prow
